date,time,token_id,side,amount,entry_prob,exit_prob,exit_type,pnl_gross,fee,pnl_net,result,exit_order_id,status
2026-03-31,02:10:56,97152730031013318248887943200134936705163572966202756827167817162664141710293,DOWN,10.0,0.62,0.7,TRAIL,1.2903,0.0258,1.2645,WIN,MARKET_SELL,matched
2026-03-31,02:15:53,931544594896149958006286358988853981259143805463532706886529178711683038172,DOWN,10.0,0.609,0.54,TRAIL,-1.133,0.0,-1.133,LOSS,MARKET_SELL,matched
2026-03-31,02:20:41,32676583457134212096085064157505336273918007545215602125981980008269672394311,UP,10.0,0.64,0.6,TRAIL,-0.625,0.0,-0.625,LOSS,MARKET_SELL,matched
2026-03-31,02:26:01,107702849589674164681945518246221234109318193799552497586369519809055985819304,UP,10.0,0.46,0.42,TRAIL,-0.8696,0.0,-0.8696,LOSS,MARKET_SELL,matched
2026-03-31,02:34:46,24345821152951495156071580926794525027506726710824208748523852677935554721815,UP,10.0,0.46,0.399,TRAIL,-1.3261,0.0,-1.3261,LOSS,MARKET_SELL,matched
2026-03-31,03:00:48,53503868892536954915915239044004748984437352479236970568483507323035310542244,UP,10.0,0.554,0.7,TRAIL,2.6354,0.0527,2.5827,WIN,MARKET_SELL,matched
2026-03-31,03:05:52,81133145338704534656017027005917960953979629527245273688412618838702335992783,DOWN,10.0,0.6,0.6,TRAIL,0.0,0.0,0.0,LOSS,MARKET_SELL,matched
2026-03-31,03:21:14,38174621902868385883796493395222612548844042796564529917782799846325343024305,UP,10.0,0.51,0.516,TRAIL,0.1176,0.0024,0.1152,WIN,MARKET_SELL,matched
2026-03-31,03:26:45,28170919330328812507678138028758786365309221755721909376887205363265081403818,UP,10.0,0.5,0.46,TRAIL,-0.8,0.0,-0.8,LOSS,MARKET_SELL,matched
2026-03-31,03:31:17,20308387891949404373485186244911469443917409369579364850859470277433392384430,DOWN,10.0,0.584,0.61,TRAIL,0.4452,0.0089,0.4363,WIN,MARKET_SELL,matched
2026-03-31,03:40:55,62630858670497549783388201616151759430723562476584683569390925944135538654486,DOWN,10.0,0.6,0.59,TRAIL,-0.1667,0.0,-0.1667,LOSS,MARKET_SELL,matched
2026-03-31,03:45:51,97643854037680709346394765315374171939541605902417599942950869607538675007474,UP,10.0,0.56,0.57,TRAIL,0.1786,0.0036,0.175,WIN,MARKET_SELL,matched
2026-03-31,03:51:03,14175677521783082463174851029035076396544625328936850187316996755006221012606,DOWN,10.0,0.645,0.675,TRAIL,0.4651,0.0093,0.4558,WIN,MARKET_SELL,matched
2026-03-31,04:00:45,19893012216246847296787728339098431065763512163637549228122407221936146797921,UP,10.0,0.64,0.55,TRAIL,-1.4062,0.0,-1.4062,LOSS,MARKET_SELL,matched
2026-03-31,04:05:42,36080448730104983130662973541393146935287777418277491696491425458219058011028,UP,10.0,0.55,0.54,TRAIL,-0.1818,0.0,-0.1818,LOSS,MARKET_SELL,matched
2026-03-31,04:21:08,88975306683265231271675244501682653068107035411514220869431285668294984650888,UP,10.0,0.56,0.57,TRAIL,0.1786,0.0036,0.175,WIN,MARKET_SELL,matched
2026-03-31,04:35:39,76578610014711588764866200252236345354842400971084994099376534139699750895721,UP,10.0,0.54,0.52,TRAIL,-0.3704,0.0,-0.3704,LOSS,MARKET_SELL,matched
2026-03-31,04:41:19,29718367439241034314467513931286948410203799819339690802721216528355863329092,UP,10.0,0.52,0.54,TRAIL,0.3846,0.0077,0.3769,WIN,MARKET_SELL,matched
2026-03-31,04:46:47,9717486945303340893511030976828735187501405721779181207122478777595403512774,DOWN,10.0,0.59,0.61,TRAIL,0.339,0.0068,0.3322,WIN,MARKET_SELL,matched
2026-03-31,04:55:47,51863815084936468669755413075303788444928179514992423781979213579717684864036,DOWN,10.0,0.62,0.64,TRAIL,0.3226,0.0065,0.3161,WIN,MARKET_SELL,matched
2026-03-31,05:06:18,52660411228625284479697072074088829755020506478217266125480470109144474675200,UP,10.0,0.52,0.6,TRAIL,1.5385,0.0308,1.5077,WIN,MARKET_SELL,matched
2026-03-31,05:20:40,67536199234408492702973440510858949715061380593607761352238894641448317600732,DOWN,10.0,0.592,0.71,TRAIL,1.9932,0.0399,1.9533,WIN,MARKET_SELL,matched
